Timestamp,Game mode,Team,Player,Score,Goals,Assists,Saves,Shots,Damage,MVP,Team Score,Win,MMR
20211210T154053,Standard_Ranked,0,Zoro_Strawhat,341,0,1,1,1,0,0,3,1,600
20211210T154053,Standard_Ranked,1,pingOo,304,0,1,2,1,0,0,1,0,600
20211210T154053,Standard_Ranked,1,Zodiac,228,1,0,0,1,0,0,1,0,600
20211210T154053,Standard_Ranked,0,SprAY,557,3,0,0,4,0,0,3,1,600
