Timestamp,Game mode,Team,Player,Score,Goals,Assists,Saves,Shots,Damage,MVP,Team Score,Win,MMR
20211210T154749,Standard_Ranked,1,Sherlockreb,275,0,1,2,1,0,0,1,0,600
20211210T154749,Standard_Ranked,1,Zodiac,269,1,0,1,2,0,0,1,0,600
20211210T154749,Standard_Ranked,0,Locy,523,2,0,2,1,0,1,3,1,600
20211210T154749,Standard_Ranked,0,SprAY,385,1,0,3,2,0,0,3,1,600
20211210T154749,Standard_Ranked,1,Psycho,178,0,0,0,6,0,0,1,0,600
20211210T154749,Standard_Ranked,0,Reignz,361,0,2,2,4,0,0,3,1,600
